epoch,dice_coef,val_dice_coef,loss,val_loss,,lr
0,0.291546851,0.000375364,0.951977491,7.723833084,,0.001
1,0.505816758,2.37E-05,0.730400324,2.14914465,,0.001
2,0.577491879,0.001065715,0.662504017,2.308823824,,0.001
3,0.628249168,1.85E-05,0.624697626,2.465732336,,0.001
4,0.641899705,1.75E-05,0.597199142,2.589448214,,0.001
5,0.698817015,2.85E-05,0.539131284,2.241428137,,0.001
6,0.710876644,0.01123641,0.522793114,1.529930472,,0.001
7,0.706903934,0.555857658,0.51786387,0.766499519,,0.001
8,0.71686995,0.310874254,0.514258683,1.263525128,,0.001
9,0.711460173,0.243074372,0.517163694,1.202040911,,0.001
10,0.734710991,0.136798233,0.494225055,1.266690969,,0.001
11,0.729440272,0.569740117,0.497464806,0.780613422,,0.001
12,0.748089075,0.648209333,0.475808829,0.661378741,,0.001
13,0.7613644,0.77311188,0.459402859,0.443537593,,0.001
14,0.766639888,0.737911105,0.453609556,0.493001729,,0.001
15,0.770200789,0.388034225,0.449183941,1.783555269,,0.001
16,0.74528271,0.568634689,0.472703159,0.763095558,,0.001
17,0.778613806,0.411509603,0.442769885,1.410304666,,0.001
18,0.793518245,0.000462759,0.433231175,2.0316782,,0.001
19,0.790859282,0.774032593,0.424507946,0.455156028,,0.001
20,0.801775694,0.358450741,0.405782223,2.098656654,,0.001
21,0.806711078,0.429568857,0.404292732,1.570668817,,0.001
22,0.802552462,0.614747405,0.405969232,0.766467154,,0.001
23,0.806519806,0.10046839,0.40754348,1.173333764,,0.001
24,0.815533638,0.764736354,0.390846163,0.479363829,,0.001
25,0.824777961,0.475484937,0.384361327,1.289104939,,0.001
26,0.838920653,0.838309646,0.370317727,0.328718543,,0.0005
27,0.849796891,0.847924948,0.349029332,0.319873333,,0.0005
28,0.84523052,0.852448106,0.350997597,0.312506646,,0.0005
29,0.845273316,0.71254164,0.347418755,0.585942209,,0.0005
30,0.853303075,0.846063912,0.336498588,0.311193198,,0.0005
31,0.863766372,0.295733064,0.324238986,0.856548905,,0.0005
32,0.85894537,0.722084403,0.330985844,0.348635405,,0.0005
33,0.855633199,0.82732451,0.324680239,0.283996761,,0.0005
34,0.856598794,0.778340399,0.332340837,0.460890859,,0.0005
