epoch,dice_coef,val_dice_coef,loss,val_loss,,lr
0,0.465866923,0.508593857,0.803065538,0.713923931,,0.001
1,0.645067334,0.239398003,0.670209765,1.637707472,,0.001
2,0.69342953,0.516246498,0.634485722,0.752648711,,0.001
3,0.711160243,0.033454534,0.616226852,1.143168688,,0.001
4,0.730118096,0.002081007,0.599854946,1.374657393,,0.001
5,0.743391931,0.181585714,0.588059485,0.993663847,,0.001
6,0.765246093,0.38126272,0.577216983,0.832349777,,0.001
7,0.773739815,0.590418041,0.561489046,0.633733332,,0.001
8,0.780139923,0.126104146,0.559931576,0.939727962,,0.001
9,0.78963685,0.394402444,0.455151677,0.939417303,,0.001
10,0.785535932,0.474671543,0.45101881,0.762308776,,0.001
11,0.761375964,0.275021285,0.452256978,1.429813504,,0.001
12,0.762282848,0.241610095,0.380576193,1.6539464,,0.001
13,0.753948748,0.621757269,0.395775884,0.430207342,,0.001
14,0.772243857,0.048146833,0.364639401,0.980010867,,0.001
15,0.764485776,0.298948318,0.363212347,1.397226572,,0.001
16,0.773857951,0.407034457,0.355877101,0.902441978,,0.001
17,0.779265106,0.206204861,0.344552845,0.690849423,,0.001
18,0.794008374,0.656950057,0.324112177,0.430666834,,0.001
19,0.804493964,0.48295632,0.317438215,0.572480083,,0.001
20,0.80644995,0.614701688,0.311249077,0.416912556,,0.001
21,0.794944167,0.572279572,0.32691583,0.468868822,,0.001
22,0.810339689,0.725431681,0.310428262,0.33585003,,0.001
23,0.805399299,0.640249789,0.318135738,0.376348376,,0.001
24,0.814789176,0.658297598,0.304424226,0.354676157,,0.001
25,0.806277275,0.496384948,0.322952807,0.483680218,,0.001
26,0.810199738,0.639478266,0.310909688,0.439458817,,0.001
27,0.812435985,0.275010049,0.304481924,0.627635419,,0.001
28,0.820445359,0.721575439,0.295692384,0.320088357,,0.001
29,0.811103463,0.261669308,0.305283606,1.864619613,,0.001
30,0.804278374,0.607489824,0.317333996,0.498399913,,0.001
31,0.828229964,0.732498348,0.285030186,0.298089832,,0.001
32,0.833335876,0.697700441,0.281558305,0.315775812,,0.001
33,0.822262585,0.593378484,0.289156586,0.511252701,,0.001
34,0.828390718,0.566053212,0.276042402,0.567757249,,0.001
35,0.835748553,0.359045714,0.276697189,1.149788022,,0.001
36,0.829205394,0.737535238,0.284502774,0.32340613,,0.001
37,0.837947488,0.085832737,0.272506773,0.858898401,,0.001
38,0.81986481,0.735880911,0.299018115,0.319111407,,0.001
39,0.848409712,0.701227546,0.258097321,0.355769783,,0.001
40,0.843333304,0.769806206,0.254187703,0.290836394,,0.0005
41,0.848764002,0.77506572,0.245825455,0.267213702,,0.0005
42,0.860286355,0.774208009,0.230688527,0.276637465,,0.0005
43,0.865925848,0.779625535,0.222538874,0.274264157,,0.0005
44,0.862217844,0.686056376,0.226248711,0.297331542,,0.0005
45,0.864302874,0.771642268,0.226097777,0.25558573,,0.0005
46,0.866963327,0.788525581,0.223360136,0.253757507,,0.0005
47,0.858005166,0.716153145,0.240057111,0.318986058,,0.0005
48,0.865182698,0.789021611,0.228825584,0.248843968,,0.0005
49,0.875100911,0.632382214,0.215511054,0.321347833,,0.0005
50,0.871215165,0.753840923,0.217168361,0.266809016,,0.0005
51,0.874141097,0.740295768,0.21199055,0.256923527,,0.0005
52,0.874702156,0.788661182,0.213029101,0.276409388,,0.0005
53,0.877831876,0.489406466,0.206673771,0.424759656,,0.0005
54,0.873416483,0.806093216,0.208061427,0.242644742,,0.0005
55,0.878472507,0.786925614,0.199566513,0.261812031,,0.0005
56,0.871204913,0.755591691,0.213981271,0.269300699,,0.0005
57,0.869968772,0.671315312,0.212583587,0.339533865,,0.0005
58,0.873961926,0.78939122,0.207698002,0.274597973,,0.0005
59,0.87848413,0.758788764,0.197391137,0.311473846,,0.0005
60,0.873140633,0.787847102,0.202652022,0.232084528,,0.0005
61,0.883662939,0.805787504,0.18978934,0.250737786,,0.0005
62,0.876316786,0.69241786,0.193407387,0.28201133,,0.0005
63,0.884258449,0.826355934,0.182498798,0.221780583,,0.0005
64,0.882006764,0.742286801,0.190080911,0.249260068,,0.0005
65,0.884489954,0.799118817,0.189888671,0.240416855,,0.0005
66,0.88331449,0.775918782,0.189113498,0.294623435,,0.0005
67,0.880384266,0.820343435,0.188887075,0.225642249,,0.0005
68,0.888072968,0.810953796,0.181770638,0.22640869,,0.0005
69,0.892885804,0.615724087,0.168086171,0.325176716,,0.0005
70,0.883331895,0.767487586,0.183293447,0.302369893,,0.0005
71,0.891065419,0.803977787,0.175092921,0.263528883,,0.0005
72,0.897089541,0.792013526,0.15922606,0.279868186,,0.00025
73,0.895804584,0.804627895,0.153072625,0.25587818,,0.00025
74,0.89729619,0.82848227,0.146797374,0.204442471,,0.00025
75,0.898964107,0.82823348,0.144253433,0.223223239,,0.00025
76,0.898468375,0.778120577,0.145485193,0.301506668,,0.00025
