epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.2307942807674408,1.0277127027511597,0.001,0.06859537959098816,552.4210205078125
1,0.47924119234085083,0.7758468985557556,0.001,0.03312239795923233,12.520162582397461
2,0.6022335886955261,0.6537554860115051,0.001,0.0001976245257537812,1.3601475954055786
3,0.6231208443641663,0.6294622421264648,0.001,0.00011850331793539226,1.4406934976577759
4,0.7053604125976562,0.5519742369651794,0.001,9.487811621511355e-05,1.421653151512146
5,0.696862518787384,0.557828426361084,0.001,0.00010344664769945666,1.4081757068634033
6,0.7367314696311951,0.507786750793457,0.001,8.607331255916506e-05,1.5309875011444092
7,0.7275742888450623,0.514499843120575,0.001,8.406390406889841e-05,1.5304172039031982
8,0.7399671673774719,0.5089994668960571,0.001,9.219349885825068e-05,1.473792552947998
9,0.75522381067276,0.4698198735713959,0.001,0.00011898477532668039,1.3694560527801514
10,0.7571511268615723,0.4751381278038025,0.001,0.0019901173654943705,1.2569297552108765
11,0.7809633016586304,0.45005854964256287,0.001,0.07439589500427246,1.02955961227417
12,0.7806299328804016,0.449894517660141,0.001,0.32748571038246155,0.8193426132202148
13,0.7755926251411438,0.45958831906318665,0.001,0.3777191936969757,0.9894657135009766
14,0.8148060441017151,0.42019569873809814,0.001,0.00019648714805953205,1.3651490211486816
15,0.8013089895248413,0.42204388976097107,0.001,0.6592428684234619,0.5954790115356445
16,0.777048647403717,0.4521122872829437,0.001,0.2885515093803406,1.6944979429244995
17,0.8173839449882507,0.40915876626968384,0.001,0.6610461473464966,0.5751270651817322
18,0.7958613634109497,0.4257144629955292,0.001,0.08722364157438278,1.3367000818252563
19,0.8120449185371399,0.4083922803401947,0.001,0.5392048954963684,0.7528332471847534
20,0.8320333361625671,0.3882990777492523,0.001,0.654724657535553,0.6001172661781311
21,0.8144646286964417,0.4063338041305542,0.001,0.005027845036238432,1.2897770404815674
22,0.8285012245178223,0.3855895400047302,0.001,0.504102885723114,0.9868836402893066
23,0.8121270537376404,0.4001074433326721,0.001,0.49426645040512085,1.073894739151001
24,0.8436118960380554,0.3664650321006775,0.001,0.6454866528511047,0.5493629574775696
25,0.8394735455513,0.37009701132774353,0.001,0.06394500285387039,1.0879119634628296
26,0.8531841039657593,0.3548344075679779,0.001,0.27392083406448364,0.9092511534690857
27,0.8272477388381958,0.3760961592197418,0.001,0.06490297615528107,1.0783182382583618
28,0.8557955026626587,0.3428017795085907,0.001,0.48808494210243225,0.7419939041137695
29,0.8282885551452637,0.37809398770332336,0.001,0.6502165198326111,0.5443241596221924
30,0.8356218934059143,0.3587987422943115,0.001,0.00013521223445422947,1.3511425256729126
31,0.8540226817131042,0.3436743915081024,0.001,0.6885136365890503,0.5135095119476318
32,0.8028601408004761,0.4013615548610687,0.001,0.5092509388923645,0.8653608560562134
33,0.8445941805839539,0.36691755056381226,0.001,0.5050668716430664,1.1615021228790283
34,0.8532686829566956,0.35226643085479736,0.001,0.3924555778503418,1.7989164590835571
35,0.8648055791854858,0.3307662606239319,0.001,0.6552362442016602,0.6586476564407349
36,0.8663488030433655,0.32244881987571716,0.001,0.5476058721542358,0.6105847358703613
37,0.870323657989502,0.3212246000766754,0.001,0.5951279401779175,0.7638863921165466
38,0.8546592593193054,0.3398513197898865,0.001,0.685032069683075,0.534937858581543
39,0.8775491714477539,0.3060542047023773,0.001,0.4485016465187073,0.6675029993057251
40,0.8696872591972351,0.3141966462135315,0.001,0.15190322697162628,0.9471473097801208
41,0.8820828199386597,0.29427963495254517,0.001,0.6275922656059265,0.7760111093521118
42,0.8931204676628113,0.2740750312805176,0.0005,0.644225001335144,0.7209975123405457
43,0.8916874527931213,0.2667461037635803,0.0005,0.5812923908233643,0.9736263751983643
44,0.8982670903205872,0.2570694088935852,0.0005,0.6528298854827881,0.542990505695343
45,0.876728355884552,0.2879296839237213,0.0005,0.5089808106422424,0.6788614392280579
46,0.8996682167053223,0.25708168745040894,0.0005,0.6201155185699463,0.5768603682518005
47,0.8965827226638794,0.24899829924106598,0.0005,0.6661709547042847,0.5609275698661804
48,0.8937903046607971,0.250509649515152,0.0005,0.18061509728431702,1.0646659135818481
49,0.8902806043624878,0.2631351947784424,0.0005,0.6052595973014832,0.66096431016922
50,0.9019354581832886,0.24581436812877655,0.0005,0.6847051382064819,0.6174882650375366
51,0.8989367485046387,0.24394100904464722,0.0005,0.5064486265182495,0.674268364906311
52,0.9101255536079407,0.22604525089263916,0.00025,0.43339475989341736,0.7157561779022217
53,0.9111137390136719,0.21668097376823425,0.00025,0.6787983179092407,0.5190041661262512
54,0.9092744588851929,0.2226722538471222,0.00025,0.6993239521980286,0.5213314294815063
55,0.9104713201522827,0.21452419459819794,0.00025,0.42322736978530884,0.6920375823974609
56,0.9145569801330566,0.21229523420333862,0.00025,0.44664838910102844,0.7078391313552856
57,0.9119595885276794,0.21489939093589783,0.00025,0.5226689577102661,0.6340579986572266
58,0.9103889465332031,0.21545469760894775,0.00025,0.006370405200868845,1.2188053131103516
59,0.9081004858016968,0.22139032185077667,0.00025,0.012492765672504902,1.2491484880447388
60,0.9063039422035217,0.21631038188934326,0.00025,0.5770122408866882,0.5954300761222839
61,0.918814480304718,0.20371820032596588,0.00025,0.6671584844589233,0.534694492816925
62,0.9202846884727478,0.19705556333065033,0.000125,0.6727067232131958,0.5348443388938904
63,0.9141902327537537,0.19834570586681366,0.000125,0.5711257457733154,0.6001203060150146
64,0.9199012517929077,0.19416818022727966,0.000125,0.6959739327430725,0.51369309425354
65,0.9184610247612,0.1912321299314499,0.000125,0.5121908783912659,0.6319583654403687
66,0.9202784895896912,0.19085188210010529,0.000125,0.6896533370018005,0.5200517177581787
67,0.9211291074752808,0.18754389882087708,0.000125,0.5495323538780212,0.6387637853622437
68,0.9197474122047424,0.1876155436038971,0.000125,0.683961033821106,0.5414103269577026
69,0.9245359301567078,0.18613390624523163,0.000125,0.6586928963661194,0.5452411770820618
70,0.9209847450256348,0.1882314383983612,0.000125,0.6620147824287415,0.5462536811828613
71,0.9199815988540649,0.18784920871257782,0.000125,0.6849406361579895,0.5271936655044556
72,0.9214348793029785,0.18342803418636322,6.25e-05,0.6880228519439697,0.5348437428474426
73,0.9237697720527649,0.17829950153827667,6.25e-05,0.6356649398803711,0.5620574355125427
74,0.9258285164833069,0.17875993251800537,6.25e-05,0.6096516251564026,0.5801578760147095
75,0.9210472702980042,0.17771416902542114,6.25e-05,0.6667922735214233,0.5378404855728149
76,0.9218200445175171,0.1770324856042862,6.25e-05,0.66877281665802,0.5503097176551819
77,0.9228554964065552,0.17416614294052124,6.25e-05,0.5907909274101257,0.5933019518852234
78,0.9256342053413391,0.17125429213047028,6.25e-05,0.6556218266487122,0.5546256303787231
79,0.9220779538154602,0.17293667793273926,6.25e-05,0.695945143699646,0.5327256321907043
80,0.9255998730659485,0.1749865710735321,6.25e-05,0.6853660345077515,0.5359899401664734
81,0.9242211580276489,0.17529639601707458,6.25e-05,0.6649590730667114,0.5459374189376831
