epoch,dice_coef,val_dice_coef,loss,val_loss,,,lr
0,0.242913947,0.042372283,0.985029161,1.682507515,,,0.001
1,0.465745389,0.205867544,0.775613844,1.682507515,,,0.001
2,0.602785468,0.042372283,0.642125428,1.159021497,,,0.001
3,0.633144498,0.000545968,0.618521333,1.364295483,,,0.001
4,0.696399271,0.000500426,0.552375376,1.398830175,,,0.001
5,0.695769608,0.084817179,0.546751499,1.364295483,,,0.001
6,0.708176613,0.205867544,0.530356646,1.315694809,,,0.001
7,0.719347835,0.168270379,0.517941415,1.159021497,,,0.001
8,0.709582269,0.116739906,0.525031984,1.041794777,,,0.001
9,0.743552685,0.224774823,0.495243639,1.453394771,,,0.001
10,0.758108675,0.401519567,0.472187996,1.041794777,,,0.001
11,0.769590676,0.288456678,0.47075665,1.453394771,,,0.001
12,0.765889585,0.657687664,0.462609708,0.564421177,,,0.001
13,0.759482265,0.567466676,0.470100582,0.713212848,,,0.001
14,0.784903467,0.002158282,0.443669975,1.315694809,,,0.001
15,0.776438117,0.003543443,0.453084409,1.265602708,,,0.001
16,0.785807073,0.506864309,0.434715182,0.734888375,,,0.001
17,0.785409451,0.298051387,0.438878208,1.857553482,,,0.001
18,0.80435288,0.30313161,0.414738506,0.815796733,,,0.001
19,0.806742251,0.262064397,0.407555073,1.774743676,,,0.001
20,0.806267738,0.71938467,0.407238603,0.489796221,,,0.001
21,0.806505442,0.493290991,0.405735195,0.818827987,,,0.001
22,0.810731947,0.543691218,0.398291171,0.788688719,,,0.001
23,0.811460853,0.295965493,0.390427679,0.801710963,,,0.001
24,0.816218257,0.334888071,0.391903818,0.736458063,,,0.001
25,0.82603091,0.04287326,0.375696331,1.166433692,,,0.001
26,0.845156729,0.672599733,0.371906132,0.542853236,,,0.001
27,0.827751696,0.508598566,0.368781477,0.850650251,,,0.001
28,0.828578711,0.426669806,0.372510374,0.982805371,,,0.001
29,0.835831404,0.64410311,0.347494483,0.622411132,,,0.0005
30,0.8586905,0.445007861,0.328548461,0.635854304,,,0.0005
31,0.850564778,0.432185829,0.333308071,0.925308585,,,0.0005
32,0.856764972,0.672847807,0.331218213,0.479658604,,,0.0005
33,0.868040621,0.350945652,0.314163029,0.721370459,,,0.0005
34,0.873595893,0.765280485,0.308179319,0.442145139,,,0.0005
35,0.859591067,0.335399628,0.319970161,0.743037403,,,0.0005
36,0.872621179,0.746219158,0.306154758,0.463002294,,,0.0005
37,0.874076366,0.467740387,0.306635529,0.910402775,,,0.0005
38,0.867825389,0.649553239,0.305506915,0.605210721,,,0.0005
39,0.867690444,0.032119978,0.301956534,1.165814877,,,0.0005
40,0.878443241,0.798556566,0.290288538,0.371247053,,,0.0005
41,0.87825346,0.786967695,0.290281266,0.414728373,,,0.0005
42,0.878999472,0.820387661,0.289702624,0.354968905,,,0.0005
43,0.882401049,0.74303776,0.286489189,0.481002033,,,0.0005
44,0.872327983,0.59863621,0.284697622,0.71077615,,,0.0005
45,0.877300858,0.604322493,0.282672644,0.64751792,,,0.0005
46,0.884256423,0.737392902,0.276813328,0.423865527,,,0.0005
47,0.881710887,0.815784395,0.277735591,0.332181633,,,0.0005
48,0.887598574,0.391826302,0.269713938,0.665951014,,,0.0005
49,0.883539557,0.057079371,0.270420432,1.106098652,,,0.0005
50,0.892458498,0.004280153,0.264791459,1.347891212,,,0.0005
51,0.888326883,0.708576798,0.263195455,0.550888956,,,0.0005
52,0.898691773,0.833621204,0.250139832,0.346307993,,,0.0005
53,0.892191231,0.570077777,0.255760521,0.505923331,,,0.0005
54,0.894336283,0.814917684,0.253437161,0.400210887,,,0.0005
55,0.889981627,0.847693145,0.253329217,0.300865442,,,0.0005
56,0.897103727,0.836320639,0.245938644,0.341844469,,,0.0005
57,0.895861208,0.502416372,0.251161188,0.56894809,,,0.0005
58,0.88778466,0.782424688,0.253831357,0.41624406,,,0.0005
59,0.893223524,0.681888521,0.247025847,0.577830493,,,0.0005
60,0.89681685,0.823396921,0.243888229,0.36329627,,,0.0005
61,0.897524893,0.832637966,0.241001651,0.328378528,,,0.0005
62,0.897435725,0.797041655,0.240479857,0.407553077,,,0.0005
63,0.902283251,0.814518869,0.232495621,0.316135973,,,0.0005
64,0.906563282,0.852079928,0.218858317,0.279047877,,,0.00025
65,0.909371257,0.854567707,0.216516599,0.302599221,,,0.00025
66,0.907858253,0.850373387,0.214393705,0.306433558,,,0.00025
67,0.906653523,0.868389547,0.215427205,0.267341942,,,0.00025
68,0.903897166,0.816512287,0.216193214,0.38289395,,,0.00025
69,0.909889996,0.800322294,0.20860368,0.399905622,,,0.00025
70,0.911624849,0.704226792,0.20695819,0.411312133,,,0.00025
71,0.905616462,0.833821118,0.212699801,0.341518253,,,0.00025
72,0.910762191,0.813135505,0.207510322,0.364312708,,,0.00025
73,0.912822962,0.82280457,0.207479477,0.357743502,,,0.00025
74,0.910230815,0.728353977,0.20212023,0.350762725,,,0.00025
75,0.911016703,0.813540816,0.201768339,0.291825891,,,0.00025
76,0.911766768,0.838001788,0.195685685,0.341233194,,,0.000125
77,0.919115782,0.878834188,0.18865937,0.239897087,,,0.000125
78,0.918539226,0.878171682,0.189607769,0.234883904,,,0.000125
79,0.918148875,0.880853474,0.186923727,0.242827624,,,0.000125
80,0.915915847,0.881247103,0.186734185,0.250707656,,,0.000125
81,0.915482938,0.853769481,0.189959601,0.313867211,,,0.000125
82,0.915560126,0.870468855,0.188519999,0.273981154,,,0.000125
83,0.912579298,0.880290926,0.188000619,0.259364814,,,0.000125
84,0.916517258,0.882382333,0.186057031,0.247908428,,,0.000125
85,0.919137359,0.88143152,0.179953024,0.245908141,,,0.000125
86,0.920571387,0.881581664,0.183595076,0.241015285,,,0.000125
87,0.920920074,0.888338983,0.180115983,0.230790868,,,6.25E-05
88,0.920915127,0.883961439,0.175540164,0.247750551,,,6.25E-05
89,0.921876848,0.884090245,0.176091403,0.220518529,,,6.25E-05
90,0.922703147,0.884096503,0.173290938,0.241579816,,,6.25E-05
91,0.920757294,0.889225602,0.174353898,0.233509839,,,6.25E-05
92,0.921940565,0.873381972,0.174447417,0.226901546,,,6.25E-05
93,0.921246529,0.871595979,0.17142269,0.278544575,,,6.25E-05
94,0.923112631,0.88896364,0.170940489,0.231445313,,,6.25E-05
95,0.920628846,0.88459152,0.171526209,0.246415079,,,6.25E-05
96,0.920578837,0.889817953,0.172061667,0.233128741,,,6.25E-05
97,0.923200667,0.881426036,0.173670262,0.225434527,,,6.25E-05
98,0.921806037,0.888365388,0.172905594,0.218790084,,,3.13E-05
99,0.919970751,0.890068591,0.167494416,0.223560244,,,3.13E-05
100,0.9224962,0.888515472,0.167403251,0.232400492,,,3.13E-05
101,0.922392368,0.888589978,0.166134119,0.230572566,,,3.13E-05
102,0.922777116,0.882735848,0.168193966,0.210780978,,,3.13E-05
103,0.92150867,0.881725192,0.166102082,0.210970655,,,3.13E-05
104,0.924371421,0.889249921,0.163680166,0.211151987,,,3.13E-05
105,0.923503518,0.889785707,0.166296586,0.223677471,,,3.13E-05
106,0.922046125,0.89129889,0.165733039,0.216060534,,,3.13E-05
107,0.924704254,0.889845073,0.164338857,0.210433438,,,3.13E-05
108,0.922999084,0.87721765,0.165862173,0.208634034,,,3.13E-05
109,0.92478317,0.892203093,0.163880587,0.214699611,,,3.13E-05
110,0.922950804,0.880989492,0.164334834,0.212913215,,,3.13E-05
111,0.923272908,0.886199594,0.166997463,0.238525957,,,3.13E-05
112,0.924411237,0.871430993,0.163278088,0.213133797,,,3.13E-05
113,0.922611952,0.892580688,0.162174731,0.218883216,,,3.13E-05
114,0.925011635,0.89115715,0.164011434,0.212558955,,,3.13E-05
115,0.922501624,0.891480386,0.162383661,0.216725588,,,3.13E-05
116,0.92666626,0.893016756,0.163520679,0.211824238,,,3.13E-05
117,0.923399329,0.882346869,0.16258198,0.20663777,,,1.56E-05
118,0.924036562,0.893724263,0.160432324,0.214745089,,,1.56E-05
119,0.923002601,0.888089299,0.162320644,0.205124304,,,1.56E-05
120,0.923236787,0.891813993,0.161389247,0.224429995,,,1.56E-05
121,0.924168527,0.893158436,0.160378829,0.219999179,,,1.56E-05
122,0.924345255,0.894032776,0.160939351,0.20789203,,,1.56E-05
123,0.926436841,0.892778337,0.160617962,0.204358861,,,1.56E-05
124,0.922426403,0.893173337,0.159036502,0.205120683,,,1.56E-05
125,0.92531997,0.894047797,0.159610629,0.218227223,,,1.56E-05
126,0.926019788,0.890737414,0.159945518,0.204169124,,,1.56E-05
127,0.926084876,0.893821836,0.15828523,0.212174669,,,1.56E-05
128,0.92411685,0.892353654,0.158243209,0.202235058,,,1.56E-05
129,0.92542088,0.894496143,0.15835467,0.206945598,,,1.56E-05
130,0.925373018,0.895128429,0.158456862,0.210021749,,,1.56E-05
131,0.924048543,0.895547986,0.157884479,0.20828332,,,1.56E-05
132,0.924259901,0.895088315,0.159152135,0.211666837,,,1.56E-05
133,0.925076604,0.892298102,0.158329412,0.202739269,,,1.56E-05
134,0.921893656,0.895026743,0.159139022,0.212481588,,,1.56E-05
135,0.925606251,0.894773841,0.15895538,0.207184494,,,1.56E-05
136,0.924386203,0.894574046,0.157904878,0.210524738,,,1.56E-05
137,0.924503684,0.894440889,0.15873234,0.202206269,,,7.81E-06
138,0.92247808,0.895883203,0.158048823,0.203768894,,,7.81E-06
139,0.925828993,0.894224107,0.157007039,0.200177521,,,7.81E-06
140,0.923288345,0.894300282,0.157876253,0.200228378,,,7.81E-06
141,0.925195277,0.894811988,0.157554597,0.200230792,,,7.81E-06
142,0.92100215,0.895497441,0.158923268,0.204558626,,,7.81E-06
143,0.923402607,0.894709766,0.157153815,0.214356706,,,7.81E-06
144,0.925189137,0.895075083,0.157883361,0.203595653,,,7.81E-06
145,0.92507714,0.894758046,0.157654747,0.203054845,,,7.81E-06
146,0.926852643,0.893705547,0.154351816,0.200475723,,,7.81E-06
147,0.923128843,0.895756185,0.156614736,0.205939099,,,7.81E-06
148,0.924934745,0.895568073,0.157745883,0.202962771,,,3.91E-06
149,0.926004767,0.895796716,0.156789884,0.203315958,,,3.91E-06
150,0.925007343,0.895678759,0.15663366,0.202354878,,,3.91E-06
151,0.927540541,0.894045115,0.154041454,0.198428273,,,3.91E-06
152,0.925808668,0.895377934,0.158566058,0.201908559,,,3.91E-06
153,0.922870994,0.895181715,0.155677542,0.202320009,,,3.91E-06
154,0.925511122,0.895392299,0.155122682,0.2024187,,,3.91E-06
155,0.926646054,0.895557284,0.154287487,0.201984629,,,3.91E-06
156,0.926872313,0.895201147,0.154523939,0.20186007,,,3.91E-06
157,0.926465571,0.895336032,0.154575899,0.199119613,,,3.91E-06
158,0.924337029,0.895608664,0.155841678,0.200471699,,,3.91E-06
159,0.926209688,0.894565403,0.154892728,0.19974792,,,3.91E-06
160,0.923061132,0.895233631,0.155166134,0.199316204,,,1.95E-06
161,0.925716281,0.895377696,0.155855566,0.199316055,,,1.95E-06
162,0.923630655,0.895516634,0.156696722,0.201265052,,,1.95E-06
163,0.925186276,0.895416856,0.157378197,0.201230705,,,1.95E-06
164,0.923300683,0.895520687,0.158689871,0.202845708,,,1.95E-06
165,0.924025595,0.895781934,0.156242907,0.202314138,,,1.95E-06
166,0.925416589,0.895571649,0.156487808,0.201494381,,,1.95E-06
167,0.925498903,0.895644009,0.155725986,0.20190613,,,1.95E-06
168,0.922673702,0.895682931,0.155310959,0.200428709,,,9.77E-07
169,0.925721228,0.895882368,0.156067491,0.202248618,,,9.77E-07
170,0.923366606,0.895944118,0.155105844,0.201783657,,,9.77E-07
171,0.922611356,0.895995617,0.157827973,0.204554692,,,9.77E-07
172,0.924826562,0.895926774,0.156406179,0.201850161,,,9.77E-07
173,0.92484355,0.895207763,0.155697554,0.200625494,,,9.77E-07
174,0.924352944,0.895724416,0.15487352,0.201400101,,,9.77E-07
175,0.926846385,0.895794749,0.155054629,0.200243652,,,9.77E-07
176,0.92694068,0.89544791,0.154286936,0.200137317,,,4.88E-07
177,0.926651776,0.895945251,0.156210393,0.202513382,,,4.88E-07
178,0.92277956,0.895801425,0.155917034,0.201046482,,,4.88E-07
179,0.928122222,0.895843625,0.153987795,0.199697524,,,4.88E-07
180,0.925971508,0.896102011,0.154213995,0.201986656,,,4.88E-07
181,0.925287127,0.896046102,0.155165747,0.203596696,,,4.88E-07
182,0.927147388,0.895984411,0.154643834,0.20304215,,,4.88E-07
183,0.925028384,0.895983279,0.154948607,0.201212272,,,4.88E-07
184,0.926100373,0.895899594,0.15384385,0.201131925,,,2.44E-07
185,0.92493391,0.895624042,0.154588267,0.200134695,,,2.44E-07
186,0.92631793,0.895829678,0.155866727,0.201510444,,,2.44E-07
187,0.925183058,0.895820975,0.155014679,0.200693905,,,2.44E-07
188,0.927473128,0.895806253,0.154582709,0.201346502,,,2.44E-07
189,0.92490977,0.896134615,0.15469557,0.202665016,,,2.44E-07
190,0.92435503,0.896031737,0.154713228,0.200732976,,,2.44E-07
191,0.925873339,0.895596862,0.154875129,0.199046373,,,2.44E-07
192,0.926184356,0.89560467,0.153765127,0.19937481,,,1.22E-07
193,0.924647808,0.896091998,0.155824021,0.202304363,,,1.22E-07
194,0.926175237,0.895567715,0.15469186,0.199240148,,,1.22E-07
195,0.926110029,0.89621681,0.155821502,0.202612817,,,1.22E-07
196,0.924694121,0.895852685,0.154857695,0.200230405,,,1.22E-07
197,0.922934473,0.896099746,0.155409366,0.203356877,,,1.22E-07
198,0.925407112,0.896139085,0.156384945,0.203603059,,,1.22E-07
