epoch,dice_coef,val_dice_coef,loss,val_loss,,,lr
0,0.003656203,0.003580099,1.018506289,1.009071827,,,0.001
1,0.010627105,0.020084344,1.011884689,1.034473777,,,0.001
2,0.039246183,0.004699801,1.001802802,1.006957889,,,0.001
3,0.065247543,0.029153245,0.993489683,1.054872632,,,0.001
4,0.085279398,0.038862634,0.987219989,0.994679093,,,0.001
5,0.100242861,0.0523143,0.98307997,0.991309524,,,0.001
6,0.114259921,0.055066533,0.979597867,0.99220854,,,0.001
7,0.123317167,0.0715385,0.977397919,0.979986012,,,0.001
8,0.126769587,0.049796291,0.975877762,1.020025969,,,0.001
9,0.133859083,0.066429563,0.974512756,0.988334596,,,0.001
10,0.140169129,0.022217233,0.971780956,1.0171417,,,0.001
11,0.141338348,0.040591117,0.972271264,1.00257051,,,0.001
12,0.150868416,0.079894356,0.970410883,0.976870656,,,0.001
13,0.149747863,0.080789499,0.970454156,0.977984667,,,0.001
14,0.15086098,0.063239671,0.969510615,0.99058646,,,0.001
15,0.161733732,0.06792222,0.967104495,0.986819744,,,0.001
16,0.158011332,0.094606288,0.968817413,0.972035408,,,0.001
17,0.160823435,0.076218516,0.966326177,0.983383417,,,0.001
18,0.357083648,0.816999793,0.662782013,0.113594562,,,0.001
19,0.680524111,0.841218591,0.134234607,0.09491089,,,0.001
20,0.689878345,0.83684814,0.12807782,0.084768176,,,0.001
21,0.708517849,0.859380305,0.108524397,0.065975904,,,0.001
22,0.707425237,0.846651614,0.105142087,0.079788528,,,0.001
23,0.719318449,0.858809888,0.104605764,0.070967846,,,0.001
24,0.703163445,0.838342488,0.105246797,0.073120058,,,0.001
25,0.705531895,0.784755707,0.109004632,0.101447947,,,0.001
26,0.720210433,0.829031706,0.098684654,0.070696801,,,0.001
27,0.717816293,0.856988013,0.101066269,0.066367127,,,0.001
28,0.706001759,0.841141164,0.107915364,0.123773351,,,0.001
29,0.714822352,0.866567612,0.100848742,0.057398316,,,0.001
30,0.700513184,0.868717074,0.115074523,0.058036823,,,0.001
31,0.722885668,0.727087855,0.096640654,0.144178912,,,0.001
32,0.729274035,0.796709299,0.093173705,0.106748737,,,0.001
33,0.718222678,0.865680337,0.093589596,0.086597957,,,0.001
34,0.729187727,0.639522374,0.089417197,0.295304328,,,0.001
35,0.734944642,0.856101274,0.088923179,0.06367819,,,0.001
36,0.729577422,0.847854614,0.087423064,0.066226125,,,0.001
37,0.727732539,0.845902801,0.099383071,0.118457876,,,0.001
38,0.725879014,0.848502398,0.08840441,0.070931941,,,0.001
39,0.732406139,0.864756882,0.087213702,0.06823463,,,0.001
40,0.717761278,0.823981702,0.09075892,0.072921433,,,0.001
41,0.713648558,0.865984023,0.091895252,0.064744562,,,0.001
42,0.728139877,0.852207184,0.098480962,0.086217448,,,0.001
43,0.72816807,0.856607378,0.092677675,0.062028289,,,0.001
44,0.739327729,0.865505695,0.087556735,0.068020582,,,0.001
45,0.725063622,0.859337926,0.086061299,0.06309966,,,0.001
46,0.739281118,0.856188416,0.086309835,0.117631339,,,0.001
47,0.735019207,0.858131588,0.086344682,0.061513253,,,0.001
48,0.737204134,0.861238062,0.082957149,0.060263321,,,0.001
49,0.745819688,0.768462777,0.080676995,0.124642313,,,0.001
50,0.754030108,0.861656964,0.076830335,0.053693179,,,0.0005
51,0.760383725,0.877872467,0.074922472,0.053396296,,,0.0005
52,0.768286467,0.860504806,0.071334489,0.056093417,,,0.0005
53,0.764618039,0.856802404,0.072552472,0.061300755,,,0.0005
54,0.755034745,0.873048365,0.075473212,0.050037328,,,0.0005
55,0.776016176,0.861963212,0.070219606,0.060587145,,,0.0005
56,0.778966308,0.865203023,0.068405494,0.054084659,,,0.0005
57,0.770720482,0.830887079,0.070027739,0.074748106,,,0.0005
58,0.77383399,0.869220912,0.069642887,0.053779069,,,0.0005
59,0.760196447,0.864529431,0.07105121,0.050804719,,,0.0005
60,0.762138367,0.844312727,0.069600187,0.058937248,,,0.0005
61,0.77082783,0.876885116,0.069844566,0.048684306,,,0.0005
62,0.762718081,0.847991467,0.072535507,0.080900997,,,0.0005
63,0.76872313,0.850830615,0.069035254,0.058939762,,,0.0005
64,0.778640509,0.877008617,0.066674694,0.049154013,,,0.0005
65,0.773368895,0.871775508,0.069657542,0.055385251,,,0.0005
66,0.769314647,0.874608278,0.06969326,0.049699929,,,0.0005
67,0.778493702,0.878587127,0.066521972,0.049787585,,,0.0005
68,0.77864325,0.852306306,0.066264711,0.065687016,,,0.0005
69,0.771619618,0.860321403,0.068247207,0.054916739,,,0.0005
70,0.79229784,0.876828253,0.068401441,0.046752505,,,0.0005
71,0.771538854,0.873289406,0.074994572,0.052322522,,,0.0005
72,0.776718974,0.862030566,0.066747583,0.052038807,,,0.0005
73,0.780813754,0.875142753,0.065353043,0.051441051,,,0.0005
74,0.780074418,0.880320311,0.066065274,0.049031332,,,0.0005
75,0.774317861,0.873348415,0.068735383,0.046503715,,,0.0005
76,0.779536843,0.876499951,0.068623543,0.05319003,,,0.0005
77,0.783680081,0.882433772,0.065198846,0.050851293,,,0.0005
78,0.784533978,0.863849521,0.063390866,0.05702449,,,0.0005
79,0.784720182,0.88368094,0.068459891,0.048252203,,,0.0005
80,0.78913033,0.874834657,0.0633578,0.050600354,,,0.0005
81,0.79174155,0.885098875,0.062351786,0.043498479,,,0.0005
82,0.775693834,0.875821531,0.067154504,0.053234562,,,0.0005
83,0.788592815,0.883493245,0.064252384,0.047693446,,,0.0005
84,0.78218317,0.859417439,0.073628865,0.082251437,,,0.0005
85,0.789111853,0.873551548,0.065909371,0.051858064,,,0.0005
86,0.778820932,0.883609891,0.067472145,0.048435561,,,0.0005
87,0.793357968,0.88641423,0.060542904,0.04820127,,,0.0005
88,0.768731654,0.866455793,0.069664381,0.058086723,,,0.0005
89,0.791454196,0.879306138,0.06430117,0.052636471,,,0.0005
90,0.79324019,0.881746709,0.064869009,0.051716354,,,0.0005
91,0.793697774,0.880441844,0.06337484,0.046313286,,,0.0005
92,0.784849465,0.879435182,0.063621514,0.048185233,,,0.0005
93,0.788090229,0.86391592,0.062484607,0.053709306,,,0.0005
94,0.795987546,0.885196686,0.061098184,0.048663046,,,0.0005
95,0.792271256,0.888042271,0.065193556,0.045538321,,,0.0005
96,0.771335781,0.875180602,0.066102058,0.047513824,,,0.0005
97,0.778630614,0.871367931,0.068761133,0.056689002,,,0.0005
98,0.79402113,0.88096869,0.064389236,0.047482278,,,0.0005
99,0.807014346,0.860054791,0.058585498,0.056141261,,,0.0005
100,0.794371307,0.873477995,0.061864529,0.053953547,,,0.0005
101,0.795410454,0.882227778,0.066692308,0.050242845,,,0.0005
102,0.803527892,0.892599404,0.06345319,0.045040358,,,0.00025
103,0.801784933,0.885462165,0.058064647,0.045555856,,,0.00025
104,0.798230946,0.885065794,0.0593131,0.044114441,,,0.00025
105,0.810275614,0.865470886,0.056774378,0.052115314,,,0.00025
106,0.798718631,0.879408002,0.056824695,0.04850924,,,0.00025
107,0.805899918,0.888865709,0.055298805,0.043619558,,,0.00025
108,0.803519249,0.894935787,0.058518145,0.04249163,,,0.00025
109,0.814323604,0.887296617,0.054841734,0.044601809,,,0.00025
110,0.797705173,0.888966382,0.059481114,0.044921961,,,0.00025
111,0.802497387,0.89157486,0.056978233,0.044072475,,,0.00025
112,0.812474251,0.883091092,0.053900689,0.04387784,,,0.00025
113,0.819267869,0.887159109,0.054236848,0.041613143,,,0.00025
114,0.810828388,0.879194081,0.054842673,0.045860868,,,0.00025
115,0.813291073,0.876110494,0.052634619,0.047375027,,,0.00025
116,0.820252419,0.892170846,0.053812869,0.043690257,,,0.00025
117,0.806865335,0.883416295,0.054221705,0.042538539,,,0.00025
118,0.817009866,0.897469163,0.053279608,0.042268697,,,0.00025
119,0.817991316,0.892426014,0.054463767,0.040803686,,,0.00025
120,0.809548974,0.887086213,0.057267211,0.046115201,,,0.00025
121,0.819986999,0.879252315,0.052636195,0.04727947,,,0.00025
122,0.806959808,0.890456498,0.055246629,0.045537084,,,0.00025
123,0.807930708,0.88788271,0.056541748,0.042587675,,,0.00025
124,0.803456306,0.885596037,0.055191796,0.044196784,,,0.00025
125,0.804198802,0.875871718,0.054969814,0.046444859,,,0.00025
126,0.813202798,0.890479565,0.054892141,0.044762179,,,0.00025
127,0.816756666,0.883992434,0.052062672,0.047305625,,,0.00025
128,0.816165447,0.889221847,0.051998906,0.041784212,,,0.00025
129,0.821565747,0.88931191,0.051618103,0.045645729,,,0.00025
130,0.80416894,0.89408803,0.05678951,0.041503869,,,0.00025
131,0.82480526,0.880727768,0.051545132,0.044126056,,,0.00025
132,0.821365952,0.881774366,0.052051317,0.048535287,,,0.00025
133,0.813710392,0.889674783,0.051188167,0.041740239,,,0.00025
134,0.814925969,0.888558269,0.051538929,0.042237587,,,0.00025
135,0.819870114,0.882769763,0.051984943,0.044432838,,,0.00025
136,0.822006762,0.875523508,0.050566789,0.047709752,,,0.00025
137,0.817526281,0.884748042,0.053554058,0.044709586,,,0.00025
138,0.821032345,0.891758323,0.050599869,0.043390211,,,0.00025
139,0.821401358,0.884861946,0.053052079,0.045086391,,,0.00025
140,0.822230339,0.891265154,0.051922601,0.041726392,,,0.000125
141,0.819339454,0.891053796,0.049923632,0.042839441,,,0.000125
142,0.817562759,0.889098048,0.049313135,0.04184683,,,0.000125
143,0.826710403,0.889335573,0.049208995,0.042038627,,,0.000125
144,0.827830374,0.887474477,0.049423158,0.042749096,,,0.000125
145,0.82569176,0.893296838,0.049072888,0.03977355,,,0.000125
146,0.825831115,0.893162251,0.048467226,0.040710233,,,0.000125
147,0.82333374,0.890709221,0.049001329,0.042536881,,,0.000125
148,0.835757911,0.892257333,0.049044903,0.04107926,,,0.000125
