epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.42765650153160095,0.8268607258796692,0.001,0.29149189591407776,0.843475878238678
1,0.6113687753677368,0.6872997879981995,0.001,0.0004025241360068321,1.4449766874313354
2,0.6640843749046326,0.6435011029243469,0.001,0.07543539255857468,1.109426498413086
3,0.7025365829467773,0.6238420009613037,0.001,0.1551215946674347,0.9995383024215698
4,0.7264745831489563,0.6080897450447083,0.001,0.5585897564888,0.6964597105979919
5,0.7479456067085266,0.5889819860458374,0.001,0.48135435581207275,0.8212454915046692
6,0.7530080080032349,0.5761075019836426,0.001,0.4348917305469513,0.8705389499664307
7,0.765608549118042,0.5657452940940857,0.001,0.4890173375606537,0.8673214912414551
8,0.7876207828521729,0.5517557263374329,0.001,0.5350542068481445,0.7649409174919128
9,0.7850304245948792,0.5418012738227844,0.001,0.5883123874664307,0.6851827502250671
10,0.8035961389541626,0.5316320061683655,0.001,0.3542839586734772,1.13309907913208
11,0.8127548098564148,0.5240423083305359,0.001,0.2670968174934387,0.8829949498176575
12,0.7993554472923279,0.45629066228866577,0.001,0.2264196127653122,2.320859670639038
13,0.7494300007820129,0.4403783082962036,0.001,0.4388290047645569,0.7518385052680969
14,0.7670869827270508,0.3748835325241089,0.001,0.4009507894515991,0.7875878810882568
15,0.7713372111320496,0.3614957630634308,0.001,0.42282816767692566,0.6220471262931824
16,0.768993079662323,0.3565219044685364,0.001,0.4856492578983307,0.5586245656013489
17,0.7915017604827881,0.3438469469547272,0.001,0.023493463173508644,1.01825749874115
18,0.7843943238258362,0.3436167240142822,0.001,0.35684674978256226,0.6476373076438904
19,0.7377693057060242,0.40919944643974304,0.001,0.39207562804222107,0.775534987449646
20,0.7466132044792175,0.3847889006137848,0.001,0.33671480417251587,0.9558080434799194
21,0.7778413891792297,0.348279744386673,0.001,0.002428395440801978,1.2256076335906982
22,0.7751027345657349,0.33970290422439575,0.001,0.563163697719574,0.4637981355190277
23,0.8078474402427673,0.3141145408153534,0.001,0.48437127470970154,0.5041621923446655
24,0.7939358949661255,0.32074224948883057,0.001,0.6008569598197937,0.47525548934936523
25,0.8065338730812073,0.30684560537338257,0.001,0.5875694155693054,0.44771242141723633
26,0.8086192607879639,0.3084105849266052,0.001,0.6035520434379578,0.4658847749233246
27,0.807010293006897,0.3011159896850586,0.001,0.5733269453048706,0.5362938642501831
28,0.8007009029388428,0.3186638355255127,0.001,0.4425949156284332,0.8379353284835815
29,0.8169451951980591,0.2948360741138458,0.001,0.5906444787979126,0.4578409194946289
30,0.8181370496749878,0.2913341522216797,0.001,0.2574097216129303,0.7469109296798706
31,0.8239601850509644,0.2862403094768524,0.001,0.08997956663370132,0.9066134691238403
32,0.8209232091903687,0.28764548897743225,0.001,0.5538123846054077,0.5763067603111267
33,0.8413429856300354,0.26314598321914673,0.00040000002,0.589084267616272,0.4317673146724701
34,0.8446228504180908,0.2561214864253998,0.00040000002,0.5555681586265564,0.4870118796825409
35,0.8436126112937927,0.23852266371250153,0.00040000002,0.5113597512245178,0.49324485659599304
36,0.8602079153060913,0.23172646760940552,0.00040000002,0.5850632190704346,0.4448285698890686
37,0.8592713475227356,0.23444078862667084,0.00040000002,0.3776598870754242,0.6299328804016113
38,0.8684923052787781,0.2225581407546997,0.00040000002,0.5589737296104431,0.47063618898391724
