epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.50472092628479,0.7413105368614197,0.001,0.5956276059150696,0.5895336866378784
1,0.6218856573104858,0.63429194688797,0.001,0.010415739379823208,1.384300708770752
2,0.6633280515670776,0.5921755433082581,0.001,0.4990554749965668,0.7224333882331848
3,0.6924355030059814,0.566276490688324,0.001,0.001071261940523982,1.7337595224380493
4,0.7118651866912842,0.5479723811149597,0.001,0.5370621085166931,0.6096605658531189
5,0.7319516539573669,0.5288113951683044,0.001,0.6864644885063171,0.4897864758968353
6,0.7414023876190186,0.5186520218849182,0.001,0.7181283831596375,0.46898794174194336
7,0.7524203062057495,0.5050865411758423,0.001,0.5581648349761963,0.7583556175231934
8,0.7666106820106506,0.4931652545928955,0.001,0.7386926412582397,0.4555233418941498
9,0.767535924911499,0.4871688783168793,0.001,0.5959611535072327,0.5616425275802612
10,0.7776344418525696,0.4662201404571533,0.001,0.7519934773445129,0.3962197005748749
11,0.7826520204544067,0.44524070620536804,0.001,0.7365847229957581,0.4069351553916931
12,0.7599776983261108,0.44563621282577515,0.001,0.7001781463623047,0.3972693085670471
13,0.7676591873168945,0.42549455165863037,0.001,0.6448302865028381,0.48020225763320923
14,0.76900315284729,0.4148296117782593,0.001,0.6928134560585022,0.4186890721321106
15,0.7695280909538269,0.4135817289352417,0.001,0.732864499092102,0.36988601088523865
16,0.7696300745010376,0.41161614656448364,0.001,0.6091395616531372,0.438936710357666
17,0.7744669318199158,0.4010830223560333,0.001,0.5720527768135071,0.46257245540618896
18,0.7805446982383728,0.3999226689338684,0.001,0.3018440902233124,1.6572604179382324
19,0.7894477248191833,0.37817174196243286,0.001,0.7576303482055664,0.3033331334590912
20,0.7881192564964294,0.3802821636199951,0.001,0.721383273601532,0.3365930914878845
21,0.7859176397323608,0.37905654311180115,0.001,0.7334508299827576,0.3658045828342438
22,0.7851389646530151,0.3805857002735138,0.001,0.5552377104759216,0.48209214210510254
23,0.7879049777984619,0.37864989042282104,0.001,0.6835916042327881,0.4626021385192871
24,0.7833917737007141,0.3796972632408142,0.001,0.7478610277175903,0.3239094913005829
25,0.7927225232124329,0.37135541439056396,0.001,0.6805795431137085,0.46774590015411377
26,0.7977170348167419,0.3633711636066437,0.001,0.692055881023407,0.43378713726997375
27,0.7935645580291748,0.3653481900691986,0.001,0.4753161370754242,0.9124730229377747
28,0.8114613890647888,0.336473673582077,0.0005,0.7408930659294128,0.36020368337631226
29,0.8174453973770142,0.31913653016090393,0.0005,0.785430371761322,0.2931884825229645
30,0.8209895491600037,0.3128630518913269,0.0005,0.7967463731765747,0.2799854874610901
31,0.8238148093223572,0.3131670653820038,0.0005,0.7924975156784058,0.29540184140205383
32,0.8300213813781738,0.30248117446899414,0.0005,0.7764396071434021,0.2821982204914093
